seconds	rss_kb
0	5616
5	8824
10	14336
15	22712
20	22596
25	22244
30	22744
35	22452
40	22028
45	22836
50	22640
55	22604
60	22572
65	23144
70	22928
75	22828
80	22916
85	22748
90	22780
95	22836
100	22604
105	22520
110	23028
115	23060
120	22588
125	22604
130	22728
135	22588
140	22008
145	22664
150	22908
155	23256
160	22660
165	23156
170	22580
175	22960
180	22708
185	22212
190	22368
195	22932
200	22556
205	22692
210	23088
215	22856
220	22772
225	22600
230	22312
235	23188
240	22484
245	22112
250	23208
255	22932
260	22660
265	22508
270	22856
275	23016
280	23440
285	23168
290	22908
295	23280
300	23000
305	22772
310	23032
315	23284
320	23168
325	23332
330	23100
335	22876
340	22932
345	23240
350	23060
355	22540
360	23084
365	23476
370	23156
375	22628
380	23384
385	23092
390	22868
395	22796
400	22360
405	23236
410	23100
415	22672
420	22836
425	23188
430	22888
435	23240
440	22864
445	23104
450	22892
455	22892
460	23012
465	22612
470	23120
475	23100
480	23148
485	22644
490	22976
495	22700
500	23372
505	22796
510	23144
515	22992
520	23004
525	22880
530	23372
535	22804
540	22880
545	22972
550	22880
555	22952
560	23132
565	23052
570	23080
575	23276
580	23336
585	22852
590	22412
595	22888
600	23016
605	22672
